"pred_date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
"2015-03-01",0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,6,11,0,13,0,9,0,13,0,0,7,24,0,7,0,52
"2015-03-08",1,0,10,0,0,21,15,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,30,8,0,0,28,7,5,0,37
"2015-03-15",13.97,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,49,0,0,12,26,7,15,0,31
"2015-03-22",25,0,21,15,15,31,0,0,0,0,15,0,17,0,0,0,0,22,0,0,0,0,0,22,0,0,0,35,15,9,0,29
"2015-03-29",24.2,0,7,0,7,18,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,0,19,13,0,0,31,0,6,0,34
"2015-04-05",21,6,15,0,8,18,0,0,0,0,0,0,15,0,0,0,15,9,12,0,0,0,9,8,0,0,0,25,0,24,0,35
"2015-04-12",25.38,0,0,10,0,0,0,0,0,0,5,0,6,0,0,0,0,11,0,0,0,0,16,11,0,0,0,31,0,0,18,37
"2015-04-19",30.2,7,0,8,0,14,0,0,0,0,0,0,8,0,0,0,9,9,0,0,0,0,0,15,0,0,15,25,8,8,0,29
"2015-04-26",24,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,21,0,0,0,0,0,9,0,0,9,32,0,8,0,27
"2015-05-03",1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,19,0,0,0,0,0,18,12,0,0,17,0,9,9,36
"2015-05-10",0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,27,0,0,12,11,0,0,0,0,0,31,0,7,0,46
"2015-05-17",0,0,12,0,0,13,0,0,0,0,0,0,6,0,0,0,0,12,8,0,0,0,0,12,0,0,0,6,5,7,0,35
"2015-05-24",0,6,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,35
"2015-05-31",0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,27,10,0,0,0,0,0,0,0,12,39,0,11,8,29
"2015-06-07",0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,21,0,0,0,0,7,19,0,0,0,29,0,9,0,29
"2015-06-14",0,0,0,10,6,7,0,0,0,0,15,0,11,0,0,0,0,11,0,9,0,6,11,0,0,0,0,27,10,5,10,31
"2015-06-21",0,0,9,0,0,9,0,0,0,0,14,0,0,0,0,0,6,31,0,19,0,0,0,7,7,0,12,31,0,0,0,29
"2015-06-28",0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,7,24,0,0,0,33
"2015-07-05",0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,8,0,0,0,0,0,0,0,36,0,0,0,22
"2015-07-12",0,0,22,0,0,0,12,0,0,0,25,0,7,0,0,0,8,0,27,0,0,0,0,14,8,0,10,25,0,11,0,42
"2015-07-19",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,37,0,0,11,0,0,7,0,0,0,35,0,10,0,32
"2015-07-26",0,0,0,0,11,10,9,0,0,0,0,0,0,0,0,0,20,21,0,0,0,12,0,0,0,0,0,15,0,24,16,66
"2015-08-02",0,0,0,13,0,21,0,0,0,0,0,0,28,0,0,0,12,6,9,0,0,15,0,11,0,0,0,18,0,0,10,41
"2015-08-09",0,11,5,0,12,0,0,0,0,0,12,0,14,0,0,0,13,10,0,0,0,0,0,0,6,0,0,40,0,8,0,40
"2015-08-16",0,0,0,0,16,0,10,0,0,0,0,0,11,0,0,0,0,10,0,11,9,0,0,6,0,0,0,39,0,13,0,80
"2015-08-23",0,0,0,10,12,0,0,0,0,0,0,0,14,0,0,0,7,25,7,0,6,0,0,14,0,0,0,18,0,5,0,65
"2015-08-30",0,0,0,0,9,7,0,0,0,0,10,0,0,0,0,0,24,23,13,0,0,0,0,8,0,0,10,0,11,14,0,43
"2015-09-06",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,8,27,0,18,0,50
"2015-09-13",0,0,0,0,0,8,0,0,0,0,0,0,37,0,0,0,7,7,0,17,0,0,0,0,0,0,8,18,6,12,0,27
